text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
đừng cho tui chi quá 1tr tiền ăn mỗi tháng,Action,SET_LIMIT,SET,Food,1000000,,,,,,,
hạn chế chi tiêu giải trí còn 300k thôi,Action,SET_LIMIT,SET,Entertainment,300000,,,,,,,
bật nhắc nhở khi chi quá hạn mức giải trí,Action,SET_ALERT,,Entertainment,,,true,,,,,
đừng cho xài quá 500k đồ ăn mỗi tháng,Action,SET_LIMIT,SET,Food,500000,,,,,,,
muốn tích cóp 10 triệu mua laptop mới,Action,SET_GOAL,,,10000000,mua laptop mới,,,,,,
tích thêm 5 triệu vào mục tiêu mua laptop,Action,ADD_GOAL,ADD,,5000000,mua laptop,,,,,,
sửa lại khoản ăn uống vừa nãy thành 50k,Action,UPDATE_RECORD,,Food,50000,,,,,,,
đặt hạn mức chi tiêu 5tr,Action,SET_LIMIT,SET,Education,5000000,,,,,,,
gợi ý chi tiêu tuần này,Action,SUGGEST_BUDGET,,,,,,,,tuần này,,
goi y chi tieu thang nay,Action,SUGGEST_BUDGET,,,,,,,,tháng này,,
xóa giao dịch vừa nhập,Action,DELETE_RECORD,,,,,,,,,,
hủy hóa đơn cuối cùng giúp mình,Action,DELETE_RECORD,,,,,,,,,,
xóa bản ghi chi tiêu vừa rồi,Action,DELETE_RECORD,,,,,,,,,,
tắt cảnh báo chi tiêu,Action,SET_ALERT,,,,,false,,,,,
tắt nhắc nhở vượt hạn mức,Action,SET_ALERT,,,,,false,,,,,
muốn tiết kiệm 10 triệu mua laptop,Action,SET_GOAL,,,10000000,mua laptop,,,,,,
tích cóp 5 củ để mua laptop mới,Action,ADD_GOAL,ADD,,5000000,mua laptop mới,,,,,,
tui muốn tích cóp 10 triệu sắm laptop mới,Action,SET_GOAL,,,10000000,sắm laptop mới,,,,,,
tổng chi tháng này,Action,REPORT_GENERAL,,,,,,,,tháng này,,
tong chi thang nay,Action,REPORT_GENERAL,,,,,,,,tháng này,,
tổng chi tiêu tháng này bao nhiêu,Action,REPORT_GENERAL,,,,,,,,tháng này,,
bù thêm 2 triệu vào mục tiêu mua nhà,Action,ADD_GOAL,ADD,,2000000,mua nhà,,,,,,
nạp thêm 2tr mục tiêu mua nhà,Action,ADD_GOAL,ADD,,2000000,mua nhà,,,,,,
