text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Hôm qua tui xài bn cho học hành?,Action,REPORT_GENERAL,,Education,,,,,,hôm qua,,
Tình hình sức khoẻ tháng 3 của tui ntn rồi Mimo?,Action,REPORT_GENERAL,,Health,,,,,,tháng 3,,
Từ 1/5 đến 15/5 tui hết bn tiền làm đẹp?,Action,REPORT_GENERAL,,Beauty,,,,,,từ ngày 1 đến ngày 15 tháng 5,,
Thống kê chi nhà cửa nửa đầu năm đi bro,Action,REPORT_GENERAL,,Housing,,,,,,nửa đầu năm,,
Mimo cho tui xem tổng tiền đầu tư 2 tuần gần đây,Action,REPORT_GENERAL,,Investment,,,,,,hai tuần gần đây,,
Chi phí sinh hoạt cả năm nay của tui là bao nhiêu thế?,Action,REPORT_GENERAL,,Essentials,,,,,,cả năm nay,,
Tuần rồi tui chi tiền giao lưu bn vậy,Action,REPORT_GENERAL,,Social,,,,,,tuần rồi,,
Cho tui báo cáo chi tiêu lặt vặt tháng này,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
Báo cáo food tháng 7 đi Mimo,Action,REPORT_GENERAL,,Food,,,,,,tháng 7,,
Đi lại từ đầu năm đến giờ của tui như nào?,Action,REPORT_GENERAL,,Transport,,,,,,từ đầu năm đến giờ,,
Tiền giải trí tuần trước là bao nhiu vậy?,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần trước,,
Mua sắm trong 3 tháng qua tui xài hết bn rùi,Action,REPORT_GENERAL,,Shopping,,,,,,3 tháng qua,,
Thống kê tiền học từ 1/1 đến 31/3 cho tui,Action,REPORT_GENERAL,,Education,,,,,,từ ngày 1 tháng 1 đến ngày 31 tháng 3,,
Năm ngoái tiền sức khoẻ của tui là bao nhiêu?,Action,REPORT_GENERAL,,Health,,,,,,năm ngoái,,
Cho tui xem chi phí làm đẹp 3 ngày gần nhất,Action,REPORT_GENERAL,,Beauty,,,,,,3 ngày gần nhất,,
Tình hình chi tiền nhà cửa tháng 4 ra sao Mimo?,Action,REPORT_GENERAL,,Housing,,,,,,tháng 4,,
Mimo cho tui xem khoản đầu tư 6 tháng cuối năm của tui,Action,REPORT_GENERAL,,Investment,,,,,,6 tháng cuối năm,,
Thống kê chi tiêu thiết yếu tháng này cho tui đi,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
Giao lưu tuần này của tui hết bn rồi Mimo?,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Tổng chi khác tháng trước là bn vậy?,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
Báo cáo ăn uống hôm nay cho tui nha,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Nửa đầu năm nay tui chi bao nhiêu cho đi lại?,Action,REPORT_GENERAL,,Transport,,,,,,nửa đầu năm nay,,
Giải trí từ 15/6 đến 30/6 tốn bao nhiêu,Action,REPORT_GENERAL,,Entertainment,,,,,,từ ngày 15 tháng 6 đến ngày 30 tháng 6,,
Check giùm tui mua sắm quý 1 năm nay,Action,REPORT_GENERAL,,Shopping,,,,,,quý 1 năm nay,,
Học hành trong 5 ngày gần đây của tui,Action,REPORT_GENERAL,,Education,,,,,,5 ngày gần đây,,
Cả năm nay tui đã xài bn tiền cho sức khoẻ rùi?,Action,REPORT_GENERAL,,Health,,,,,,cả năm nay,,
Tình hình làm đẹp tháng trước của tui Mimo ơi,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
Chi tiêu nhà cửa tuần vừa rồi là bao nhiêu?,Action,REPORT_GENERAL,,Housing,,,,,,tuần vừa rồi,,
Khoản đầu tư 2 tháng gần nhất của tui như nào?,Action,REPORT_GENERAL,,Investment,,,,,,2 tháng gần nhất,,
Tổng chi sinh hoạt năm nay của tui,Action,REPORT_GENERAL,,Essentials,,,,,,năm nay,,
Social media tháng 8 của tui là bao nhiêu Mimo?,Action,REPORT_GENERAL,,Social,,,,,,tháng 8,,
Mấy khoản chi khác trong tuần này của tui,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Tình hình chi ăn uống 3 ngày qua của tui,Action,REPORT_GENERAL,,Food,,,,,,3 ngày qua,,
Xem lại chi phí đi lại tháng trước cho tui,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Chi tiền học hành tháng này hết bn rồi?,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
Báo cáo chi phí làm đẹp năm ngoái,Action,REPORT_GENERAL,,Beauty,,,,,,năm ngoái,,
Tổng kết chi tiêu Ăn uống trong tuần này như nào Mimo?,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Cho tui xem report về Giao thông của tháng trước đi,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Tình hình mua sắm của tháng này ra sao rồi?,Action,REPORT_GENERAL,,Shopping,,,,,,tháng này,,
Chi tiêu cho Giải trí của năm ngoái đi,Action,REPORT_GENERAL,,Entertainment,,,,,,năm ngoái,,
Báo cáo chi tiêu Sức khỏe 3 tháng gần đây,Action,REPORT_GENERAL,,Health,,,,,,3 tháng gần đây,,
Mày thống kê tiền Điện nước tháng này xem,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Report chi phí Học tập của tớ tuần trước,Action,REPORT_GENERAL,,Education,,,,,,tuần trước,,
Thống kê chi tiêu làm đẹp hôm nay,Action,REPORT_GENERAL,,Beauty,,,,,,hôm nay,,
Chi phí Đầu tư từ đầu năm đến giờ,Action,REPORT_GENERAL,,Investment,,,,,,từ đầu năm đến giờ,,
Xem chi tiêu linh tinh ngày hôm qua,Action,REPORT_GENERAL,,Others,,,,,,ngày hôm qua,,
Tiền đi chơi với bạn bè tuần trước,Action,REPORT_GENERAL,,Social,,,,,,tuần trước,,
Cho tớ cái report về chi tiêu Nhu yếu phẩm trong 7 ngày qua,Action,REPORT_GENERAL,,Essentials,,,,,,7 ngày qua,,
Báo cáo chi tiêu cho nhà cửa tháng này,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Xem tiền học của tớ năm nay hết bao nhiêu,Action,REPORT_GENERAL,,Education,,,,,,năm nay,,
Tình hình chi tiêu giải trí của tui hai tuần qua,Action,REPORT_GENERAL,,Entertainment,,,,,,hai tuần qua,,
Hôm qua tui tiêu xài cho làm đẹp bao nhiêu?,Action,REPORT_GENERAL,,Beauty,,,,,,hôm qua,,
Tổng kết chi tiêu đi lại trong tháng trước đi Mimo,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Cho tui xem overview về tiền ăn trong tháng này,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Báo cáo chi tiêu sức khoẻ từ đầu tháng đến giờ,Action,REPORT_GENERAL,,Health,,,,,,từ đầu tháng,,
Report tiền mua sắm của quý này,Action,REPORT_GENERAL,,Shopping,,,,,,quý này,,
Tình hình đầu tư của tôi trong năm nay,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
Thống kê chi phí linh tinh hôm nay,Action,REPORT_GENERAL,,Others,,,,,,hôm nay,,
Tiền chi cho giao tiếp xã hội tuần này,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Báo cáo chi tiêu đồ dùng thiết yếu tháng trước,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
Chi phí thuê nhà tháng trước ntn?,Action,REPORT_GENERAL,,Housing,,,,,,tháng trước,,
Hnay tốn tiền học bnhieu?,Action,REPORT_GENERAL,,Education,,,,,,hôm nay,,
Show tui tiền đi chơi hqua,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
Tkê chi phí làm đẹp tnay,Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
Xem chi tiêu di chuyển của 3 ngày gần đây,Action,REPORT_GENERAL,,Transport,,,,,,3 ngày gần đây,,
Tổng hợp tiền ăn uống của tháng trước đó,Action,REPORT_GENERAL,,Food,,,,,,tháng trước đó,,
Report y tế của 1 tháng gần nhất,Action,REPORT_GENERAL,,Health,,,,,,1 tháng gần nhất,,
Thống kê chi tiêu mua sắm của năm ngoái,Action,REPORT_GENERAL,,Shopping,,,,,,năm ngoái,,
Tiền đầu tư từ đầu quý đến nay,Action,REPORT_GENERAL,,Investment,,,,,,từ đầu quý đến nay,,
Chi phí lặt vặt của tuần trước đó,Action,REPORT_GENERAL,,Others,,,,,,tuần trước đó,,
Báo cáo tiền đi cafe với bạn bè tháng này,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Xem tiền chi cho nhu yếu phẩm quý trước,Action,REPORT_GENERAL,,Essentials,,,,,,quý trước,,
Thống kê chi phí nhà ở năm ngoái,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Report chi phí học hành trong tháng 10,Action,REPORT_GENERAL,,Education,,,,,,trong tháng 10,,
Tình hình chi tiêu giải trí 3 ngày trước,Action,REPORT_GENERAL,,Entertainment,,,,,,3 ngày trước,,
Chi phí làm đẹp của tuần trước,Action,REPORT_GENERAL,,Beauty,,,,,,tuần trước,,
tui đã ăn chơi nhảy múa hết bao nhiu xiền trong tháng này rùi Mimo?,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
bao tien an uong hom nay cua tui vay?,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
report chi tiêu cho đồ ăn của tui tuần trước với,Action,REPORT_GENERAL,,Food,,,,,,tuần trước,,
tổng tiền ăn uống từ đầu năm đến giờ là nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,từ đầu năm,,
tính dùm tui tiền shopping trong 7 ngày qua đi,Action,REPORT_GENERAL,,Shopping,,,,,,7 ngày qua,,
show cho tui đã chi bao nhiêu cho mua sắm tháng trước đi,Action,REPORT_GENERAL,,Shopping,,,,,,tháng trước,,
check giùm em tiền mua đồ hôm nay hết nhiêu?,Action,REPORT_GENERAL,,Shopping,,,,,,hôm nay,,
bao cao chi tieu mua sam tu dau thang toi gio cho tui,Action,REPORT_GENERAL,,Shopping,,,,,,từ đầu tháng,,
tien di lai cua tui tuan nay la bao nhieu?,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
thong ke tien do xang xe cua tui trong 30 ngay qua,Action,REPORT_GENERAL,,Transport,,,,,,30 ngày qua,,
mimo ơi cho tui biết tiền di chuyển năm nay của tui?,Action,REPORT_GENERAL,,Transport,,,,,,năm nay,,
tổng chi phí giao thông hôm qua của tui,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
tui da quẩy hết bao nhiêu tiền cho giải trí tháng này rùi?,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng này,,
báo cáo tiền đi chơi bời của tui tuần trước,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần trước,,
tiền giải trí từ đầu năm của tui là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,từ đầu năm,,
chi phi giai tri trong 3 ngay gan nhat cua tui la gi?,Action,REPORT_GENERAL,,Entertainment,,,,,,3 ngày gần nhất,,
tiền làm đẹp của tui tuần này là bao nhiêu Mimo?,Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
bao cao tien my pham thang truoc di,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
cho tui biết tổng tiền đã chi cho skincare từ đầu tháng đến giờ,Action,REPORT_GENERAL,,Beauty,,,,,,từ đầu tháng,,
thống kê chi phí học hành tháng này của tui đi,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
tien hoc phi nam nay cua tui la bao nhiu?,Action,REPORT_GENERAL,,Education,,,,,,năm nay,,
báo cáo chi phí cho giáo dục trong 30 ngày qua,Action,REPORT_GENERAL,,Education,,,,,,30 ngày qua,,
tiền khám bệnh của tui hôm nay hết nhiêu?,Action,REPORT_GENERAL,,Health,,,,,,hôm nay,,
thống kê chi phí y tế của tui tháng trước,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
bao cao tien thuoc men tu dau nam toi gio,Action,REPORT_GENERAL,,Health,,,,,,từ đầu năm,,
"tiền nhà, điện, nước tháng này là bao nhiêu?",Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
thống kê chi phí nhà ở của tui năm nay đi,Action,REPORT_GENERAL,,Housing,,,,,,năm nay,,
show cho tui tiền thuê nhà tuần trước,Action,REPORT_GENERAL,,Housing,,,,,,tuần trước,,
thống kê tiền đầu tư của tui trong tháng này đi Mimo,Action,REPORT_GENERAL,,Investment,,,,,,tháng này,,
chi phí đầu tư của tui trong năm nay là nhiêu?,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
bao cao tien dau tu tu dau nam den gio,Action,REPORT_GENERAL,,Investment,,,,,,từ đầu năm,,
tiền nhu yếu phẩm tuần này của tui hết bao nhiêu rùi?,Action,REPORT_GENERAL,,Essentials,,,,,,tuần này,,
thong ke chi tieu cho sinh hoat phi thang truoc,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
cho tui biết tiền mua đồ dùng thiết yếu hôm qua,Action,REPORT_GENERAL,,Essentials,,,,,,hôm qua,,
tien di choi ban be thang nay het bao nhiu?,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
bao cao chi phi giao luu cua tui trong 7 ngay qua,Action,REPORT_GENERAL,,Social,,,,,,7 ngày qua,,
tổng tiền cho các hoạt động xã hội từ đầu năm đến giờ,Action,REPORT_GENERAL,,Social,,,,,,từ đầu năm,,
cho tui biết tiền chi tiêu linh tinh tháng này,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
tổng chi phí khác của tui trong tuần này,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
bao cao tien chi tieu khong phan loai duoc thang truoc,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
Cho tui xem báo cáo chi tiêu cho mục Food tháng này.,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Thống kê tiền xài cho Entertainment tuần trước hộ tui nha.,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần trước,,
"Mimo ơi, tổng chi phí Housing của tui hôm qua là bao nhiêu?",Action,REPORT_GENERAL,,Housing,,,,,,hôm qua,,
Liệt kê các khoản Shopping trong quý này giúp tớ với.,Action,REPORT_GENERAL,,Shopping,,,,,,quý này,,
Check dùm tui coi Education tốn bao nhiêu năm ngoái.,Action,REPORT_GENERAL,,Education,,,,,,năm ngoái,,
Xem tổng xài cho Transport từ đầu tháng nha.,Action,REPORT_GENERAL,,Transport,,,,,,từ đầu tháng,,
Bao nhiêu tiền đổ vào Beauty trong 7 ngày gần đây?,Action,REPORT_GENERAL,,Beauty,,,,,,7 ngày gần đây,,
Review chi tiêu Health tháng 2 vừa rồi đi Mimo.,Action,REPORT_GENERAL,,Health,,,,,,tháng 2 vừa rồi,,
Tổng cộng Essentials hết bao nhiêu tháng trước?,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
Report chi phí Social 2 tuần gần nhất giùm nha.,Action,REPORT_GENERAL,,Social,,,,,,2 tuần gần nhất,,
Cho tui cai bao cao chi tieu Investment trong thang nay.,Action,REPORT_GENERAL,,Investment,,,,,,tháng này,,
Tinh tong tien Others quý trước coi.,Action,REPORT_GENERAL,,Others,,,,,,quý trước,,
Chi tiêu Food của tui hôm nay là bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Tổng kết Shopping của tháng 3 năm nay.,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 3 năm nay,,
Báo cáo chi tiêu Health trong 3 ngày qua.,Action,REPORT_GENERAL,,Health,,,,,,3 ngày qua,,
Xem tổng kết tiền xài cho Transport năm nay.,Action,REPORT_GENERAL,,Transport,,,,,,năm nay,,
"Mimo, cho xem chi phí Beauty trong tuần này luôn.",Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
Chi tiết tiền Housing từ 1/1 đến 30/6.,Action,REPORT_GENERAL,,Housing,,,,,,từ 1/1 đến 30/6,,
Liệt kê chi tiêu Entertainment của tháng 12 năm ngoái.,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng 12 năm ngoái,,
Report các khoản Essentials trong 3 tháng cuối năm.,Action,REPORT_GENERAL,,Essentials,,,,,,3 tháng cuối năm,,
Thống kê Investment cả năm giùm tui.,Action,REPORT_GENERAL,,Investment,,,,,,cả năm,,
Check chi tiêu Education từ đầu năm đến giờ.,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm,,
Báo cáo Social của tuần này.,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Cho xem chi tiêu Others trong tháng 1 vừa rồi.,Action,REPORT_GENERAL,,Others,,,,,,tháng 1 vừa rồi,,
"Mimo, tổng tiền Food tháng 11 năm ngoái.",Action,REPORT_GENERAL,,Food,,,,,,tháng 11 năm ngoái,,
Thống kê chi phí Entertainment của quý 2.,Action,REPORT_GENERAL,,Entertainment,,,,,,quý 2,,
Liệt kê khoản chi Housing trong 30 ngày qua.,Action,REPORT_GENERAL,,Housing,,,,,,30 ngày qua,,
Tổng hợp Shopping của ngày hôm qua đi.,Action,REPORT_GENERAL,,Shopping,,,,,,ngày hôm qua,,
Review tiền Health 6 tháng đầu năm.,Action,REPORT_GENERAL,,Health,,,,,,6 tháng đầu năm,,
Xem chi phí Transport trong tuần trước.,Action,REPORT_GENERAL,,Transport,,,,,,tuần trước,,
Báo cáo Beauty cả tháng 4 đi Mimo.,Action,REPORT_GENERAL,,Beauty,,,,,,cả tháng 4,,
Tổng chi phí Essentials từ tháng 7 đến tháng 9.,Action,REPORT_GENERAL,,Essentials,,,,,,từ tháng 7 đến tháng 9,,
Check dùm tui Investment của tháng trước.,Action,REPORT_GENERAL,,Investment,,,,,,tháng trước,,
"Mimo, thống kê Social trong 10 ngày gần nhất.",Action,REPORT_GENERAL,,Social,,,,,,10 ngày gần nhất,,
Cho tui xem chi phí Education của năm 2023.,Action,REPORT_GENERAL,,Education,,,,,,năm 2023,,
Báo cáo Other hôm qua.,Action,REPORT_GENERAL,,Others,,,,,,hôm qua,,
Tổng tiền Food quý 1 năm nay là bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,quý 1 năm nay,,
Xem chi phí Entertainment từ đầu năm đến nay.,Action,REPORT_GENERAL,,Entertainment,,,,,,từ đầu năm đến nay,,
Liệt kê các khoản Housing trong tháng 5.,Action,REPORT_GENERAL,,Housing,,,,,,tháng 5,,
Thống kê Health của tuần trước nha Mimo.,Action,REPORT_GENERAL,,Health,,,,,,tuần trước,,
Chi tiêu ăn uống tuần này của em ntn ạ?,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
tổng kết khoản giải trí của tui tháng trước đi,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng trước,,
show tui cái report về shopping năm nay coi nào,Action,REPORT_GENERAL,,Shopping,,,,,,năm nay,,
Xem giùm tui mấy vụ đi lại hôm qua với,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Thống kê chi phí làm đẹp từ đầu tháng tới giờ,Action,REPORT_GENERAL,,Beauty,,,,,,từ đầu tháng tới giờ,,
Báo cáo chi tiêu giáo dục của quý trước,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
"Mimo ơi, cho tớ xem chi tiêu thiết yếu 3 ngày gần nhất nha",Action,REPORT_GENERAL,,Essentials,,,,,,3 ngày gần nhất,,
Thống kê khoản đầu tư trong năm ngoái,Action,REPORT_GENERAL,,Investment,,,,,,năm ngoái,,
Lên báo cáo chi phí sức khỏe tháng này hộ tui,Action,REPORT_GENERAL,,Health,,,,,,tháng này,,
Mấy khoản housing của mình quý này ntn rùi?,Action,REPORT_GENERAL,,Housing,,,,,,quý này,,
Báo cáo chi tiêu xã hội hóa từ 1/1 đến 31/3,Action,REPORT_GENERAL,,Social,,,,,,từ 1/1 đến 31/3,,
Xuất báo cáo chi tiêu khác của tháng 2 đi,Action,REPORT_GENERAL,,Others,,,,,,tháng 2,,
Cho tớ coi tổng chi tiêu ăn uống của 2 tuần vừa rồi,Action,REPORT_GENERAL,,Food,,,,,,2 tuần vừa rồi,,
Tk chi phí đi lại của tui tuần trước vs,Action,REPORT_GENERAL,,Transport,,,,,,tuần trước,,
Report chi phí shopping tháng trước của tui,Action,REPORT_GENERAL,,Shopping,,,,,,tháng trước,,
Xem lại chi tiêu giải trí của năm 2023,Action,REPORT_GENERAL,,Entertainment,,,,,,năm 2023,,
Tổng hợp chi phí làm đẹp từ đầu năm tới giờ,Action,REPORT_GENERAL,,Beauty,,,,,,từ đầu năm tới giờ,,
Thống kê chi phí học hành của tháng trước,Action,REPORT_GENERAL,,Education,,,,,,tháng trước,,
Mấy khoản chi thiết yếu của hôm nay là bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,hôm nay,,
Báo cáo chi tiêu đầu tư của quý 1 năm nay,Action,REPORT_GENERAL,,Investment,,,,,,quý 1 năm nay,,
Cho xin report chi phí sức khỏe của tháng 11,Action,REPORT_GENERAL,,Health,,,,,,tháng 11,,
Check mấy vụ housing của tui tháng này,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Xem dùm tui chi phí giao lưu từ 10/4 tới giờ,Action,REPORT_GENERAL,,Social,,,,,,từ 10/4 tới giờ,,
Báo cáo chi tiêu linh tinh của tuần này đi Mimo,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Tổng hợp chi phí đồ ăn thức uống 7 ngày qua,Action,REPORT_GENERAL,,Food,,,,,,7 ngày qua,,
Cho tui xem thống kê đi lại của tháng trước,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Chi phí mua sắm năm ngoái của tui là bao nhiêu?,Action,REPORT_GENERAL,,Shopping,,,,,,năm ngoái,,
Report chi tiêu chơi bời của hôm qua,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
Thống kê chi phí spa của tháng này,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
Cho tui biết chi phí giáo dục của tuần trước,Action,REPORT_GENERAL,,Education,,,,,,tuần trước,,
Mấy khoản thiết yếu của quý này là gì vậy Mimo?,Action,REPORT_GENERAL,,Essentials,,,,,,quý này,,
Xem chi tiêu đầu tư của 3 tháng gần nhất,Action,REPORT_GENERAL,,Investment,,,,,,3 tháng gần nhất,,
Tổng kết chi phí y tế của năm nay,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
Cho tớ xem chi phí nhà cửa từ đầu năm,Action,REPORT_GENERAL,,Housing,,,,,,từ đầu năm,,
Tk chi phí xã hội tháng 6 đi Mimo,Action,REPORT_GENERAL,,Social,,,,,,tháng 6,,
Report các chi phí khác của 2 tuần qua,Action,REPORT_GENERAL,,Others,,,,,,2 tuần qua,,
Thống kê chi tiêu ăn vặt của tháng này,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Xem tổng chi phí đi lại của quý vừa rồi,Action,REPORT_GENERAL,,Transport,,,,,,quý vừa rồi,,
Báo cáo chi phí mua sắm của hôm nay,Action,REPORT_GENERAL,,Shopping,,,,,,hôm nay,,
Cho tui coi chi tiêu giải trí của tuần trước,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần trước,,
