text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Báo cáo chi phí giáo dục quý trước,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
Báo cáo chi phí giáo dục tháng vừa rồi,Action,REPORT_GENERAL,,Education,,,,,,tháng vừa rồi,,
Báo cáo chi phí giải trí cả năm ngoái.,Action,REPORT_GENERAL,,Entertainment,,,,,,cả năm ngoái,,
Báo cáo chi phí học hành năm nay là bao nhiêu?,Action,REPORT_GENERAL,,Education,,,,,,năm nay,,
Báo cáo chi phí học tiếng anh của tui trong tháng 9.,Action,REPORT_GENERAL,,Education,,,,,,tháng 9,,
Báo cáo chi phí khám bệnh tuần này.,Action,REPORT_GENERAL,,Health,,,,,,tuần này,,
Báo cáo chi phí linh tinh 6 tháng qua,Action,REPORT_GENERAL,,Others,,,,,,6 tháng qua,,
Báo cáo chi phí linh tinh của tui trong tháng 10,Action,REPORT_GENERAL,,Others,,,,,,tháng 10,,
Báo cáo chi phí làm đẹp năm ngoái,Action,REPORT_GENERAL,,Beauty,,,,,,năm ngoái,,
Báo cáo chi phí làm đẹp tháng 11 đi.,Action,REPORT_GENERAL,,Beauty,,,,,,tháng 11,,
Báo cáo chi phí mua sắm của hôm nay,Action,REPORT_GENERAL,,Shopping,,,,,,hôm nay,,
Báo cáo chi phí mua sắm của mình từ 1/10 đến 31/10,Action,REPORT_GENERAL,,Shopping,,,,,,từ 1/10 đến 31/10,,
Báo cáo chi phí mua sắm của tui trong ngày hôm qua,Action,REPORT_GENERAL,,Shopping,,,,,,ngày hôm qua,,
Báo cáo chi phí mua sắm của tui trong tuần trước xem nào.,Action,REPORT_GENERAL,,Shopping,,,,,,tuần trước,,
Báo cáo chi phí mua sắm hôm qua cho tui.,Action,REPORT_GENERAL,,Shopping,,,,,,hôm qua,,
Báo cáo chi phí nhà cửa 7 ngày gần nhất,Action,REPORT_GENERAL,,Housing,,,,,,7 ngày gần nhất,,
Báo cáo chi phí nhà ở năm ngoái cho tui,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Báo cáo chi phí nhà ở năm ngoái.,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Báo cáo chi phí phát sinh tuần này,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Báo cáo chi phí sức khoẻ nửa cuối năm đi Mimo,Action,REPORT_GENERAL,,Health,,,,,,nửa cuối năm,,
Báo cáo chi phí thuốc men của tui tháng trước.,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Báo cáo chi phí y tế 3 tháng gần nhất,Action,REPORT_GENERAL,,Health,,,,,,3 tháng gần nhất,,
Báo cáo chi phí đi lại 2 tuần vừa rồi,Action,REPORT_GENERAL,,Transport,,,,,,2 tuần vừa rồi,,
Báo cáo chi phí đi lại 3 tháng gần nhất coi Mimo,Action,REPORT_GENERAL,,Transport,,,,,,3 tháng gần nhất,,
Báo cáo chi phí đi lại của tui trong tháng này,Action,REPORT_GENERAL,,Transport,,,,,,trong tháng này,,
Báo cáo chi phí đi lại tháng 8,Action,REPORT_GENERAL,,Transport,,,,,,tháng 8,,
Báo cáo chi tiêu 1 tuần qua,Action,REPORT_GENERAL,,,,,,,,1 tuần qua,,
Báo cáo chi tiêu 2 tháng qua,Action,REPORT_GENERAL,,,,,,,,2 tháng qua,,
Báo cáo chi tiêu 2 tuần nay,Action,REPORT_GENERAL,,,,,,,,2 tuần nay,,
Báo cáo chi tiêu 3 ngày qua,Action,REPORT_GENERAL,,,,,,,,3 ngày qua,,
Báo cáo chi tiêu 3 tháng gần nhất,Action,REPORT_GENERAL,,,,,,,,3 tháng gần nhất,,
Báo cáo chi tiêu 3 tuần qua,Action,REPORT_GENERAL,,,,,,,,3 tuần qua,,
Báo cáo chi tiêu 6 tháng gần nhất,Action,REPORT_GENERAL,,,,,,,,6 tháng gần nhất,,
Báo cáo chi tiêu Beauty trong 3 tháng gần đây,Action,REPORT_GENERAL,,Beauty,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Beauty trong 30 ngày qua,Action,REPORT_GENERAL,,Beauty,,,,,,30 ngày qua,,
Báo cáo chi tiêu Beauty trong 7 ngày qua,Action,REPORT_GENERAL,,Beauty,,,,,,7 ngày qua,,
Báo cáo chi tiêu Beauty trong hôm qua,Action,REPORT_GENERAL,,Beauty,,,,,,hôm qua,,
Báo cáo chi tiêu Beauty trong năm nay,Action,REPORT_GENERAL,,Beauty,,,,,,năm nay,,
Báo cáo chi tiêu Beauty trong quý này,Action,REPORT_GENERAL,,Beauty,,,,,,quý này,,
Báo cáo chi tiêu Beauty trong quý trước,Action,REPORT_GENERAL,,Beauty,,,,,,quý trước,,
Báo cáo chi tiêu Beauty trong tháng này,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
Báo cáo chi tiêu Beauty trong tháng trước,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
Báo cáo chi tiêu Education trong 3 tháng gần đây,Action,REPORT_GENERAL,,Education,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Education trong 30 ngày qua,Action,REPORT_GENERAL,,Education,,,,,,30 ngày qua,,
Báo cáo chi tiêu Education trong 7 ngày qua,Action,REPORT_GENERAL,,Education,,,,,,7 ngày qua,,
Báo cáo chi tiêu Education trong hôm nay,Action,REPORT_GENERAL,,Education,,,,,,hôm nay,,
Báo cáo chi tiêu Education trong năm nay,Action,REPORT_GENERAL,,Education,,,,,,năm nay,,
Báo cáo chi tiêu Education trong quý trước,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
Báo cáo chi tiêu Education trong tháng trước,Action,REPORT_GENERAL,,Education,,,,,,tháng trước,,
Báo cáo chi tiêu Education trong tuần này,Action,REPORT_GENERAL,,Education,,,,,,tuần này,,
Báo cáo chi tiêu Entertainment năm nay,Action,REPORT_GENERAL,,Entertainment,,,,,,năm nay,,
Báo cáo chi tiêu Entertainment trong 3 tháng gần đây,Action,REPORT_GENERAL,,Entertainment,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Entertainment trong 30 ngày qua,Action,REPORT_GENERAL,,Entertainment,,,,,,30 ngày qua,,
Báo cáo chi tiêu Entertainment trong 7 ngày qua,Action,REPORT_GENERAL,,Entertainment,,,,,,7 ngày qua,,
Báo cáo chi tiêu Entertainment trong năm nay,Action,REPORT_GENERAL,,Entertainment,,,,,,năm nay,,
Báo cáo chi tiêu Entertainment trong quý này,Action,REPORT_GENERAL,,Entertainment,,,,,,quý này,,
Báo cáo chi tiêu Entertainment trong quý trước,Action,REPORT_GENERAL,,Entertainment,,,,,,quý trước,,
Báo cáo chi tiêu Entertainment trong tháng này,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng này,,
Báo cáo chi tiêu Entertainment trong tuần này,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần này,,
Báo cáo chi tiêu Essentials của tháng này.,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
Báo cáo chi tiêu Essentials trong 3 tháng gần đây,Action,REPORT_GENERAL,,Essentials,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Essentials trong 30 ngày qua,Action,REPORT_GENERAL,,Essentials,,,,,,30 ngày qua,,
Báo cáo chi tiêu Essentials trong 7 ngày qua,Action,REPORT_GENERAL,,Essentials,,,,,,7 ngày qua,,
Báo cáo chi tiêu Essentials trong hôm nay,Action,REPORT_GENERAL,,Essentials,,,,,,hôm nay,,
Báo cáo chi tiêu Essentials trong năm nay,Action,REPORT_GENERAL,,Essentials,,,,,,năm nay,,
Báo cáo chi tiêu Essentials trong quý này,Action,REPORT_GENERAL,,Essentials,,,,,,quý này,,
Báo cáo chi tiêu Essentials trong quý trước,Action,REPORT_GENERAL,,Essentials,,,,,,quý trước,,
Báo cáo chi tiêu Essentials trong tháng trước,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
Báo cáo chi tiêu Essentials trong tuần này,Action,REPORT_GENERAL,,Essentials,,,,,,tuần này,,
Báo cáo chi tiêu Essentials trong tuần trước,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
Báo cáo chi tiêu Essentials từ đầu tháng tới giờ,Action,REPORT_GENERAL,,Essentials,,,,,,từ đầu tháng,,
Báo cáo chi tiêu Food trong 3 tháng gần đây,Action,REPORT_GENERAL,,Food,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Food trong 30 ngày qua,Action,REPORT_GENERAL,,Food,,,,,,30 ngày qua,,
Báo cáo chi tiêu Food trong 7 ngày qua,Action,REPORT_GENERAL,,Food,,,,,,7 ngày qua,,
Báo cáo chi tiêu Food trong hôm nay,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Báo cáo chi tiêu Food trong hôm qua,Action,REPORT_GENERAL,,Food,,,,,,hôm qua,,
Báo cáo chi tiêu Food trong năm nay,Action,REPORT_GENERAL,,Food,,,,,,năm nay,,
Báo cáo chi tiêu Food trong quý này,Action,REPORT_GENERAL,,Food,,,,,,quý này,,
Báo cáo chi tiêu Food trong tháng này,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Báo cáo chi tiêu Food trong tuần trước,Action,REPORT_GENERAL,,Food,,,,,,tuần trước,,
Báo cáo chi tiêu Health 2 tuần gần đây.,Action,REPORT_GENERAL,,Health,,,,,,2 tuần gần đây,,
Báo cáo chi tiêu Health trong 3 ngày qua.,Action,REPORT_GENERAL,,Health,,,,,,3 ngày qua,,
Báo cáo chi tiêu Health trong 3 tháng gần đây,Action,REPORT_GENERAL,,Health,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Health trong 30 ngày qua,Action,REPORT_GENERAL,,Health,,,,,,30 ngày qua,,
Báo cáo chi tiêu Health trong hôm nay,Action,REPORT_GENERAL,,Health,,,,,,hôm nay,,
Báo cáo chi tiêu Health trong hôm qua,Action,REPORT_GENERAL,,Health,,,,,,hôm qua,,
Báo cáo chi tiêu Health trong năm nay,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
Báo cáo chi tiêu Health trong quý trước,Action,REPORT_GENERAL,,Health,,,,,,quý trước,,
Báo cáo chi tiêu Health trong tháng này,Action,REPORT_GENERAL,,Health,,,,,,tháng này,,
Báo cáo chi tiêu Health trong tháng trước,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Báo cáo chi tiêu Health trong tuần này,Action,REPORT_GENERAL,,Health,,,,,,tuần này,,
Báo cáo chi tiêu Health trong tuần trước,Action,REPORT_GENERAL,,Health,,,,,,tuần trước,,
Báo cáo chi tiêu Housing trong 3 tháng gần đây,Action,REPORT_GENERAL,,Housing,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Housing trong 30 ngày qua,Action,REPORT_GENERAL,,Housing,,,,,,30 ngày qua,,
Báo cáo chi tiêu Housing trong 7 ngày qua,Action,REPORT_GENERAL,,Housing,,,,,,7 ngày qua,,
Báo cáo chi tiêu Housing trong hôm nay,Action,REPORT_GENERAL,,Housing,,,,,,hôm nay,,
Báo cáo chi tiêu Housing trong hôm qua,Action,REPORT_GENERAL,,Housing,,,,,,hôm qua,,
Báo cáo chi tiêu Housing trong năm nay,Action,REPORT_GENERAL,,Housing,,,,,,năm nay,,
Báo cáo chi tiêu Housing trong quý này,Action,REPORT_GENERAL,,Housing,,,,,,quý này,,
Báo cáo chi tiêu Housing trong quý trước,Action,REPORT_GENERAL,,Housing,,,,,,quý trước,,
Báo cáo chi tiêu Housing trong tháng này,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Báo cáo chi tiêu Housing trong tuần này,Action,REPORT_GENERAL,,Housing,,,,,,tuần này,,
Báo cáo chi tiêu Housing trong tuần trước,Action,REPORT_GENERAL,,Housing,,,,,,tuần trước,,
Báo cáo chi tiêu Investment trong 3 tháng gần đây,Action,REPORT_GENERAL,,Investment,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Investment trong 30 ngày qua,Action,REPORT_GENERAL,,Investment,,,,,,30 ngày qua,,
Báo cáo chi tiêu Investment trong 7 ngày qua,Action,REPORT_GENERAL,,Investment,,,,,,7 ngày qua,,
Báo cáo chi tiêu Investment trong hôm nay,Action,REPORT_GENERAL,,Investment,,,,,,hôm nay,,
Báo cáo chi tiêu Investment trong hôm qua,Action,REPORT_GENERAL,,Investment,,,,,,hôm qua,,
Báo cáo chi tiêu Investment trong năm nay,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
Báo cáo chi tiêu Investment trong quý này,Action,REPORT_GENERAL,,Investment,,,,,,quý này,,
Báo cáo chi tiêu Investment trong quý trước,Action,REPORT_GENERAL,,Investment,,,,,,quý trước,,
Báo cáo chi tiêu Investment trong tháng này,Action,REPORT_GENERAL,,Investment,,,,,,tháng này,,
Báo cáo chi tiêu Investment trong tháng trước,Action,REPORT_GENERAL,,Investment,,,,,,tháng trước,,
Báo cáo chi tiêu Investment trong tuần trước,Action,REPORT_GENERAL,,Investment,,,,,,tuần trước,,
Báo cáo chi tiêu Others trong hôm nay,Action,REPORT_GENERAL,,Others,,,,,,hôm nay,,
Báo cáo chi tiêu Others trong hôm qua,Action,REPORT_GENERAL,,Others,,,,,,hôm qua,,
Báo cáo chi tiêu Others trong năm nay,Action,REPORT_GENERAL,,Others,,,,,,năm nay,,
Báo cáo chi tiêu Others trong quý này,Action,REPORT_GENERAL,,Others,,,,,,quý này,,
Báo cáo chi tiêu Others trong quý trước,Action,REPORT_GENERAL,,Others,,,,,,quý trước,,
Báo cáo chi tiêu Others trong tháng trước,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
Báo cáo chi tiêu Others trong tuần này,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Báo cáo chi tiêu Others trong tuần trước,Action,REPORT_GENERAL,,Others,,,,,,tuần trước,,
Báo cáo chi tiêu Shopping trong 3 tháng gần đây,Action,REPORT_GENERAL,,Shopping,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Shopping trong 30 ngày qua,Action,REPORT_GENERAL,,Shopping,,,,,,30 ngày qua,,
Báo cáo chi tiêu Shopping trong 7 ngày qua,Action,REPORT_GENERAL,,Shopping,,,,,,7 ngày qua,,
Báo cáo chi tiêu Shopping trong năm nay,Action,REPORT_GENERAL,,Shopping,,,,,,năm nay,,
Báo cáo chi tiêu Shopping trong quý này,Action,REPORT_GENERAL,,Shopping,,,,,,quý này,,
Báo cáo chi tiêu Shopping trong quý trước,Action,REPORT_GENERAL,,Shopping,,,,,,quý trước,,
Báo cáo chi tiêu Shopping trong tháng này,Action,REPORT_GENERAL,,Shopping,,,,,,tháng này,,
Báo cáo chi tiêu Shopping trong tháng trước,Action,REPORT_GENERAL,,Shopping,,,,,,tháng trước,,
Báo cáo chi tiêu Shopping trong tuần này,Action,REPORT_GENERAL,,Shopping,,,,,,tuần này,,
Báo cáo chi tiêu Shopping trong tuần trước,Action,REPORT_GENERAL,,Shopping,,,,,,tuần trước,,
Báo cáo chi tiêu Social trong 3 tháng gần đây,Action,REPORT_GENERAL,,Social,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Social trong 30 ngày qua,Action,REPORT_GENERAL,,Social,,,,,,30 ngày qua,,
Báo cáo chi tiêu Social trong hôm nay,Action,REPORT_GENERAL,,Social,,,,,,hôm nay,,
Báo cáo chi tiêu Social trong hôm qua,Action,REPORT_GENERAL,,Social,,,,,,hôm qua,,
Báo cáo chi tiêu Social trong năm nay,Action,REPORT_GENERAL,,Social,,,,,,năm nay,,
Báo cáo chi tiêu Social trong quý này,Action,REPORT_GENERAL,,Social,,,,,,quý này,,
Báo cáo chi tiêu Social trong quý trước,Action,REPORT_GENERAL,,Social,,,,,,quý trước,,
Báo cáo chi tiêu Social trong tháng trước,Action,REPORT_GENERAL,,Social,,,,,,tháng trước,,
Báo cáo chi tiêu Social trong tuần này,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Báo cáo chi tiêu Social trong tuần trước,Action,REPORT_GENERAL,,Social,,,,,,tuần trước,,
Báo cáo chi tiêu Sức khỏe 3 tháng gần đây,Action,REPORT_GENERAL,,Health,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Transport trong 3 tháng gần đây,Action,REPORT_GENERAL,,Transport,,,,,,3 tháng gần đây,,
Báo cáo chi tiêu Transport trong 30 ngày qua,Action,REPORT_GENERAL,,Transport,,,,,,30 ngày qua,,
Báo cáo chi tiêu Transport trong 7 ngày qua,Action,REPORT_GENERAL,,Transport,,,,,,7 ngày qua,,
Báo cáo chi tiêu Transport trong hôm nay,Action,REPORT_GENERAL,,Transport,,,,,,hôm nay,,
Báo cáo chi tiêu Transport trong hôm qua,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Báo cáo chi tiêu Transport trong quý này,Action,REPORT_GENERAL,,Transport,,,,,,quý này,,
Báo cáo chi tiêu Transport trong quý trước,Action,REPORT_GENERAL,,Transport,,,,,,quý trước,,
Báo cáo chi tiêu Transport trong tháng này,Action,REPORT_GENERAL,,Transport,,,,,,tháng này,,
Báo cáo chi tiêu Transport trong tháng trước,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Báo cáo chi tiêu Transport trong tuần này,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
Báo cáo chi tiêu Transport trong tuần trước,Action,REPORT_GENERAL,,Transport,,,,,,tuần trước,,
Báo cáo chi tiêu cho Beauty 3 ngày gần đây giùm tui,Action,REPORT_GENERAL,,Beauty,,,,,,3 ngày gần đây,,
Báo cáo chi tiêu cho Beauty tháng trước nha,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
Báo cáo chi tiêu cho các mặt hàng thiết yếu trong tuần này.,Action,REPORT_GENERAL,,Essentials,,,,,,tuần này,,
Báo cáo chi tiêu cho học hành từ tuần trước,Action,REPORT_GENERAL,,Education,,,,,,từ tuần trước,,
Báo cáo chi tiêu cho nhà cửa tháng này,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Báo cáo chi tiêu cho đồ dùng cá nhân trong 30 ngày qua.,Action,REPORT_GENERAL,,Essentials,,,,,,30 ngày qua,,
Báo cáo chi tiêu chung ngày hôm qua,Action,REPORT_GENERAL,,,,,,,,ngày hôm qua,,
Báo cáo chi tiêu cuối quý này,Action,REPORT_GENERAL,,,,,,,,cuối quý này,,
Báo cáo chi tiêu cá nhân 3 ngày gần nhất,Action,REPORT_GENERAL,,,,,,,,3 ngày gần nhất,,
Báo cáo chi tiêu cá nhân hôm nay,Action,REPORT_GENERAL,,,,,,,,hôm nay,,
Báo cáo chi tiêu cá nhân khác của mình hôm qua,Action,REPORT_GENERAL,,Others,,,,,,hôm qua,,
Báo cáo chi tiêu các thứ thiết yếu của tháng trước cho tui,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
Báo cáo chi tiêu các thứ thiết yếu trong tháng này,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
Báo cáo chi tiêu cả tháng,Action,REPORT_GENERAL,,,,,,,,cả tháng,,
Báo cáo chi tiêu cả tuần,Action,REPORT_GENERAL,,,,,,,,cả tuần,,
Báo cáo chi tiêu giáo dục của quý trước,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
Báo cáo chi tiêu giải trí quý này,Action,REPORT_GENERAL,,Entertainment,,,,,,quý này,,
Báo cáo chi tiêu hôm nay,Action,REPORT_GENERAL,,,,,,,,hôm nay,,
Báo cáo chi tiêu linh tinh của tuần này đi Mimo,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Báo cáo chi tiêu làm đẹp của tui tuần này.,Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
Báo cáo chi tiêu làm đẹp hôm qua giùm cái,Action,REPORT_GENERAL,,Beauty,,,,,,hôm qua,,
Báo cáo chi tiêu làm đẹp quý 2 xem sao,Action,REPORT_GENERAL,,Beauty,,,,,,quý 2,,
Báo cáo chi tiêu làm đẹp tháng 10 năm ngoái.,Action,REPORT_GENERAL,,Beauty,,,,,,tháng 10 năm ngoái,,
Báo cáo chi tiêu nửa cuối năm,Action,REPORT_GENERAL,,,,,,,,nửa cuối năm,,
Báo cáo chi tiêu nửa cuối tháng,Action,REPORT_GENERAL,,,,,,,,nửa cuối tháng,,
Báo cáo chi tiêu nửa đầu năm,Action,REPORT_GENERAL,,,,,,,,nửa đầu năm,,
Báo cáo chi tiêu quý 3,Action,REPORT_GENERAL,,,,,,,,quý 3,,
Báo cáo chi tiêu quý 4,Action,REPORT_GENERAL,,,,,,,,quý 4,,
Báo cáo chi tiêu quý trước,Action,REPORT_GENERAL,,,,,,,,quý trước,,
Báo cáo chi tiêu sức khoẻ từ đầu tháng đến giờ,Action,REPORT_GENERAL,,Health,,,,,,từ đầu tháng,,
Báo cáo chi tiêu theo năm,Action,REPORT_GENERAL,,,,,,,,theo năm,,
Báo cáo chi tiêu theo năm tài chính,Action,REPORT_GENERAL,,,,,,,,theo năm tài chính,,
Báo cáo chi tiêu theo tuần,Action,REPORT_GENERAL,,,,,,,,theo tuần,,
Báo cáo chi tiêu thiết yếu tuần trước,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
Báo cáo chi tiêu tháng 10,Action,REPORT_GENERAL,,,,,,,,tháng 10,,
Báo cáo chi tiêu tháng 12 năm ngoái,Action,REPORT_GENERAL,,,,,,,,tháng 12 năm ngoái,,
Báo cáo chi tiêu tháng này cho mình cái,Action,REPORT_GENERAL,,,,,,,,tháng này,,
Báo cáo chi tiêu tháng này đi mà,Action,REPORT_GENERAL,,,,,,,,tháng này,,
Báo cáo chi tiêu tháng này đi mấy bồ,Action,REPORT_GENERAL,,,,,,,,tháng này,,
Báo cáo chi tiêu tháng sau,Action,REPORT_GENERAL,,,,,,,,tháng sau,,
Báo cáo chi tiêu trong ngày hôm nay,Action,REPORT_GENERAL,,,,,,,,hôm nay,,
Báo cáo chi tiêu tuần trước đi,Action,REPORT_GENERAL,,,,,,,,tuần trước,,
Báo cáo chi tiêu xã hội của mình tuần trước nha,Action,REPORT_GENERAL,,Social,,,,,,tuần trước,,
Báo cáo chi tiêu xã hội hóa từ 1/1 đến 31/3,Action,REPORT_GENERAL,,Social,,,,,,từ 1/1 đến 31/3,,
Báo cáo chi tiêu xã hội nửa cuối năm,Action,REPORT_GENERAL,,Social,,,,,,nửa cuối năm,,
Báo cáo chi tiêu y tế quý này,Action,REPORT_GENERAL,,Health,,,,,,quý này,,
Báo cáo chi tiêu ăn uống của mình tháng trước như nào rùi,Action,REPORT_GENERAL,,Food,,,,,,tháng trước,,
Báo cáo chi tiêu ăn uống của mình trong 30 ngày gần nhất,Action,REPORT_GENERAL,,Food,,,,,,30 ngày gần nhất,,
Báo cáo chi tiêu ăn uống của tui trong ngày hôm nay,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Báo cáo chi tiêu ăn uống của tôi trong 7 ngày qua.,Action,REPORT_GENERAL,,Food,,,,,,7 ngày qua,,
Báo cáo chi tiêu ăn uống tháng này cho tuiii,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Báo cáo chi tiêu ăn uống tuần này,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Báo cáo chi tiêu ăn uống tuần này cho tui coi đi Mimo,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Báo cáo chi tiêu ăn uống tuần này.,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Báo cáo chi tiêu đi lại hôm qua,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Báo cáo chi tiêu đi lại trong năm 2023,Action,REPORT_GENERAL,,Transport,,,,,,năm 2023,,
Báo cáo chi tiêu đầu tư của quý 1 năm nay,Action,REPORT_GENERAL,,Investment,,,,,,quý 1 năm nay,,
Báo cáo chi tiêu đồ dùng thiết yếu tháng trước,Action,REPORT_GENERAL,,Essentials,,,,,,tháng trước,,
Báo cáo chi tiêu đồ ăn thức uống tháng này.,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Báo cáo chi tiền nhà cửa của mình tháng rồi đi,Action,REPORT_GENERAL,,Housing,,,,,,tháng rồi,,
Báo cáo chi ăn uống từ đầu tháng,Action,REPORT_GENERAL,,Food,,,,,,từ đầu tháng,,
Báo cáo các khoản chi khác năm ngoái,Action,REPORT_GENERAL,,Others,,,,,,năm ngoái,,
Báo cáo các khoản chi linh tinh của mình trong 2 tuần gần nhất.,Action,REPORT_GENERAL,,Others,,,,,,2 tuần gần nhất,,
Báo cáo các khoản giải trí trong tháng này.,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng này,,
Báo cáo các khoản linh tinh tuần trước.,Action,REPORT_GENERAL,,Others,,,,,,tuần trước,,
Báo cáo các khoản đi chơi bạn bè tuần này.,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Báo cáo danh mục chi phí nhà ở 3 tháng gần đây,Action,REPORT_GENERAL,,Housing,,,,,,3 tháng gần đây,,
